Nhóm món | Tên món | Ghi chú / cách chế biến / quy cách | Giá (VNĐ, chưa gồm VAT) | Cần xác nhận / lỗi từ bản gốc
Khai vị | Bò một nắng Tây Bắc |  | 268.000đ | 
Khai vị | Mực một nắng nướng |  | 428.000đ | 
Khai vị | Mực khô nướng |  | 388.000đ | 
Khai vị | Chả mực thượng hạng |  | 269.000đ | 
Khai vị | Chả giò hải sản |  | 229.000đ | 
Khai vị | Chả bò chiên |  | 228.000đ | 
Khai vị | Tôm một nắng nướng | Thời giá |  | 
Khai vị | Pate Louis |  | 168.000đ | 
Khai vị | Xôi nếp mini Điện Biên | /đĩa | 168.000đ | 
Khai vị | Bò Louis |  | 128.000đ | 
Khai vị | Đậu hũ non chả bông |  | 99.000đ | 
Khai vị | Khoai tây chiên |  | 99.000đ | 
Khai vị | Bánh mỳ bơ tỏi |  | 68.000đ | 
Khai vị | Bánh mỳ (giỏ) |  | 50.000đ | 
Món Âu | Gan ngỗng Pháp | áp chảo, sốt táo | 428.000đ | Bản gốc ghi &apos;428k&apos; - khác định dạng các trang khác, cần chuẩn hóa
Món Âu | Bò Fuji nướng | sốt tiêu xanh/sốt nấm | 488.000đ | Bản gốc ghi &apos;488k&apos;
Món Âu | Cá tuyết Pháp nướng | sốt cam chanh | 488.000đ | Bản gốc ghi &apos;488k&apos;
Món Âu | Sườn cừu nướng | lá hương thảo | 388.000đ | Bản gốc ghi &apos;388k&apos;
Món Âu | Bò Tomahawk nướng - Dát vàng (Signature) | tảng 1,2kg, phủ vàng lá 24k, phục vụ tại bàn | 2.680.000 - 3.080.000đ | 
Đồ nguội & Phô mai | Phô mai tổng hợp đặc biệt |  | 728.000đ | 
Đồ nguội & Phô mai | Đồ nguội tổng hợp |  | 528.000đ | 
Đồ nguội & Phô mai | Phô mai tổng hợp |  | 428.000đ | CẦN XÁC NHẬN: bản thiết kế gốc bị lỗi chữ đè lên dòng này (chữ &apos;PLATTER&apos; đè lên) - có thể là món trùng với &apos;Phô mai tổng hợp đặc biệt&apos; phía trên, cần hỏi lại bếp/thiết kế trước khi đưa vào bản mới
Đồ nguội & Phô mai | Heo Iberico 36 tháng |  | 328.000đ | 
Đồ nguội & Phô mai | Xúc xích Ba Lan |  | 228.000đ | 
Đồ nguội & Phô mai | Ô liu hương hoa |  | 198.000đ | 
Đồ nguội & Phô mai | Phô mai Nga xông khói |  | 148.000đ | 
Salad & Gỏi | Salad cá hồi | sốt chanh dây | 298.000đ | 
Salad & Gỏi | Salad cá ngừ rong nho |  | 248.000đ | 
Salad & Gỏi | Salad hoa quả theo mùa |  | 228.000đ | 
Salad & Gỏi | Salad xoài xanh bò khô |  | 198.000đ | 
Salad & Gỏi | Gỏi bò Louis |  | 198.000đ | 
Salad & Gỏi | Gỏi sứa xoài xanh | kiểu Hàn Quốc | 198.000đ | 
Salad & Gỏi | Gỏi chuối rừng |  | 168.000đ | 
